#x,y,sp,age,size,tag
16.75607968,-23.56502188,1,100,0.1,624
14.36820512,6.433147471,1,100,0.14,114
9.779535286,-21.77950719,1,100,0.15,613
3.78602728,-19.00660299,1,100,0.17,585
0.999935947,-1.972034623,1,100,0.19,402
0.358001742,-3.389687242,1,100,0.24,401
33.4958317,12.92672206,1,100,0.36,234
38.59385979,-14.80862451,1,100,0.39,518
8.351292675,-18.76972124,1,100,0.4,580
19.35008586,-30.68249527,1,100,0.43,721
12.64230825,-18.96594386,1,100,0.45,577
34.56401647,-16.16591299,1,100,0.49,524
6.367279825,26.70971293,1,100,0.5,42
38.61925746,7.598378223,1,100,0.51,259
37.78793508,9.698297042,1,100,0.55,242
45.53027722,-41.0549568,1,100,0.56,829
27.64920519,-29.7917651,1,100,0.57,653
9.974723798,48.32314466,1,100,0.6,71
5.641860825,31.12071519,1,100,0.62,58
44.90183282,34.03081317,1,100,0.63,341
1.225162396,21.39949173,1,100,0.64,27
42.10457037,-19.8169437,1,100,0.64,511
4.666572827,-20.33531316,1,100,0.64,602
16.9360032,5.527596549,1,100,0.65,115
36.71062999,-14.44532844,1,100,0.67,519
25.0995098,23.4828448,1,100,0.69,166
42.44435275,-21.06685737,1,100,0.69,694
30.91378578,-26.75850542,1,100,0.7,667
3.409169773,-18.83506997,1,100,0.73,586
11.4943156,-22.19747142,1,100,0.74,616
41.78852106,44.85625511,1,100,0.75,355
1.725546129,-2.085930847,1,100,0.75,403
10.97700002,48.18155678,1,100,0.8,72
39.17584475,9.477292772,1,100,0.8,241
17.13405091,31.25496777,1,100,0.82,86
6.053356138,26.91469301,1,100,0.86,43
41.80984092,38.00345443,1,100,0.91,345
22.69986222,-35.87163786,1,100,0.91,719
13.89166125,-21.12931928,1,100,0.92,620
40.62845317,7.808323333,1,100,0.97,273
11.34669821,-20.3973333,1,100,1.03,618
19.8473117,-22.47495863,1,100,1.04,629
40.40368803,48.91744338,1,100,1.08,361
30.95887901,1.462226651,1,100,1.1,260
20.68915671,-23.02527637,1,100,1.1,632
22.65033794,15.50511557,1,100,1.15,157
0.569129834,24.63519053,1,100,1.18,28
18.75067109,23.47523147,1,100,1.19,101
4.283786839,-18.29968495,1,100,1.22,583
32.17224904,-27.88630041,1,100,1.26,670
24.67635205,39.22583494,1,100,1.28,129
0.821014344,-14.10877542,1,100,1.3,589
3.822607795,29.70425523,1,100,1.32,45
43.44661813,36.45659964,1,100,1.32,344
18.4808763,20.58078494,1,100,1.34,104
27.16131576,7.13636158,1,100,1.34,123
19.93475723,-22.32374439,1,100,1.35,628
6.952318085,42.0499359,1,100,1.38,64
41.37800938,14.42597072,1,100,1.41,281
31.65413565,-25.54868771,1,100,1.42,664
17.18167291,-22.45858342,1,100,1.44,623
32.21888071,-27.73815665,1,100,1.45,669
13.69597415,10.57216703,1,100,1.47,113
3.84417141,-21.83114306,1,100,1.48,603
0.666363461,24.8645719,1,100,1.5,29
36.09368246,-15.51709011,1,100,1.51,520
20.02537707,14.53997785,1,100,1.52,155
18.88895975,21.51976962,1,100,1.53,102
42.94169521,16.26457162,1,100,1.53,282
33.5364737,-24.55919442,1,100,1.57,662
35.35639928,-28.84446645,1,100,1.57,674
10.07559451,-21.92285601,1,100,1.59,614
20.37005867,-20.1,1,100,1.59,627
12.78503073,39.99139538,1,100,1.61,83
8.140401059,40.77185525,1,100,1.64,62
9.956663423,-21.057995,1,100,1.64,612
17.51724033,31.15971287,1,100,1.67,87
2.086986848,29.18590692,1,100,1.74,46
4.210054813,38.68148652,1,100,1.74,56
48.23504268,2.320698466,1,100,1.79,274
0.07138306,28.17968853,1,100,1.83,49
15.23800085,-22.29551667,1,100,1.84,621
17.193367,46.91190359,1,100,1.86,78
39.1773778,30.78338243,1,100,1.89,206
32.39425555,-28.1349825,1,100,1.94,671
30.69409496,-25.00207279,1,100,1.96,665
36.223985,18.90254352,1,100,1.97,216
30.38296304,-25.47662664,1,100,1.97,666
0.327064133,28.51372005,1,100,1.98,48
1.795639267,29.97974346,1,100,2.06,47
37.03769449,18.25834669,1,100,2.1,214
34.51139226,39.26488458,1,100,2.12,204
3.676716541,-20.10169567,1,100,2.12,601
29.14163433,7.350062707,1,100,2.14,125
20.06851056,-22.49461772,1,100,2.14,630
20.77755709,-22.90782508,1,100,2.18,633
35.58823619,-16.56539718,1,100,2.2,522
9.461506774,30.50806783,1,100,2.23,59
14.75055957,45.80967083,1,100,2.24,76
41.11423741,7.387706948,1,100,2.24,271
36.7165148,18.17516332,1,100,2.3,215
17.68476396,23.66233855,1,100,2.31,100
6.947155442,41.76831485,1,100,2.32,63
16.21347982,-22.8046348,1,100,2.32,622
8.558256836,40.55989154,1,100,2.35,61
20.13459584,-22.38669245,1,100,2.39,631
38.3698319,35.03761996,1,100,2.41,205
36.29898775,-16.64940662,1,100,2.41,521
29.69355236,12.81717374,1,100,2.45,161
20.23630558,13.53793779,1,100,2.47,154
4.326916842,39.67994641,1,100,2.5,57
3.724204945,-18.24819965,1,100,2.5,584
16.03191024,-32.98725739,1,100,2.54,723
28.35482258,-30.15763217,1,100,2.55,715
12.35821974,-20.44350539,1,100,2.6,619
29.52573977,6.844938409,1,100,2.67,124
40.36356941,7.678294315,1,100,2.7,272
17.95644223,43.61197614,1,100,2.74,80
4.257737703,-22.87420948,1,100,2.832957987,605
34.0821722,-14.20558131,1,100,2.85,525
18.44637621,46.09510895,1,100,2.896619964,79
10.12049551,24.04790941,1,100,2.928450953,99
21.35835711,-22.25097937,1,100,2.94,634
29.84317601,-24.72739952,1,100,2.960281942,659
1.522655783,-17.83338492,1,100,3.04,587
3.809298743,42.76347168,1,100,3.087605896,67
33.2394572,-29.35499423,1,100,3.21492985,672
27.39810182,-27.77625397,1,100,3.246760839,656
11.34301654,-19.13591818,1,100,3.278591828,579
23.61537132,41.38057606,1,100,3.310422816,184
18.68785786,-16.25311022,1,100,3.34,570
29.99815712,0.191974424,1,100,3.342253805,118
29.93960955,1.097343111,1,100,3.374084794,119
34.41219118,18.73482454,1,100,3.437746771,217
26.10506321,23.11284033,1,100,3.533239737,165
32.3582099,-25.05719745,1,100,3.596901714,663
22.11056647,42.31136522,1,100,3.756056657,183
5.299237506,-21.21062362,1,100,3.756056657,604
1.739478099,16.78526919,1,100,3.787887646,26
27.40171506,42.12240764,1,100,3.787887646,185
41.87688215,35.68086162,1,100,4.042535555,343
27.35112501,-29.2377249,1,100,4.074366543,652
35.17523191,13.03154432,1,100,4.13802852,233
21.77680225,38.0609606,1,100,4.233521486,181
3.391601794,37.77939924,1,100,4.329014452,53
6.760642203,30.02306425,1,100,4.456338407,44
13.81639432,30.4113999,1,100,4.520000384,85
12.35848164,45.37054905,1,100,4.583662361,75
21.3318663,38.494599,1,100,4.647324338,182
14.05849242,-19.41743009,1,100,4.679155327,576
37.16097263,18.58208924,1,100,4.710986316,213
31.97958923,-31.22680838,1,100,4.901972247,712
2.36420662,35.45015945,1,100,5.092958179,52
7.383597474,42.4573393,1,100,5.124789168,65
3.513090537,47.80897508,1,100,5.188451145,69
28.22114672,-27.58417965,1,100,5.252113122,657
47.20744405,-0.392468145,1,100,5.474930042,456
26.02338816,28.85908396,1,100,5.506761031,168
39.73586863,10.43258854,1,100,5.53859202,240
44.83681061,-49.25196537,1,100,5.570423008,825
6.799524308,42.37986973,1,100,5.634084985,66
8.99311436,32.37796001,1,100,5.634084985,84
10.05375189,-22.86821561,1,100,5.634084985,615
46.20804253,45.88396622,1,100,5.697746963,353
12.52566942,-2.785425282,1,100,5.952394872,407
30.12460227,24.75836887,1,100,6.016056849,207
10.84972358,47.7325831,1,100,6.334366735,73
14.92343343,45.14794831,1,100,6.525352667,77
3.183721894,39.87663993,1,100,6.939155519,54
41.21687284,-41.22968309,1,100,7.034648485,823
29.74739245,-29.64669319,1,100,7.161972439,658
38.59997866,-2.296180153,1,100,7.352958371,439
45.36190872,45.72756574,1,100,7.448451337,354
12.12479492,29.57558604,1,100,7.480282325,97
25.62768022,-20.92936526,1,100,7.480282325,635
6.118816145,-45.46135623,1,100,7.798592212,808
39.579541,-40.45564705,1,100,8.371550007,822
10.31309044,24.7871772,1,100,8.53070495,98
18.16251293,-24.1077538,1,100,8.75352187,625
7.61410083,23.66441926,1,100,8.785352859,39
16.68158465,-45.75262204,1,100,9.008169779,816
14.84848699,-47.8556321,1,100,9.326479665,815
35.80496362,9.125,1,100,9.358310654,243
9.983803476,12.31994346,1,100,9.708451529,18
46.48491084,-41.76191128,1,100,9.867606472,830
33.17337185,11.0881365,1,100,9.994930426,236
13.31341689,-46.26299501,1,100,10.0585924,813
34.69531506,13.58466552,1,100,10.44056427,232
44.97396131,-49.88962127,1,100,10.44056427,827
26.29090397,-49.39425484,1,100,10.50422624,820
27.49603365,-9.36657639,1,100,10.6315502,420
2.094129029,41.35758,1,100,10.66338119,68
49.99987815,19.93018697,1,100,11.04535305,285
43.17397431,-48.81605281,1,100,11.07718404,824
48.29574443,26.80412636,1,100,11.14084602,288
6.091883727,26.62487378,1,100,11.26816997,41
49.01163636,7.869739434,1,100,11.4591559,278
8.2400703,-43.79144398,1,100,11.52281788,809
35.13941458,25.43477854,1,100,11.77746579,208
7.119128175,-48.272737,1,100,11.90478974,807
2.620214093,-43.3631622,1,100,12.00028271,803
35.39655668,9.324486169,1,100,12.06394469,244
11.16627446,-48.44237585,1,100,12.06394469,811
9.484544485,3.861603987,1,100,12.47774754,17
12.79204421,41.99894305,1,100,12.50957853,82
8.280799879,-36.85981673,1,100,12.5732405,726
3.641241533,-45.48873307,1,100,12.5732405,804
11.93098884,-17.14261328,1,100,12.73239545,578
9.320720849,-23.66366579,1,100,12.73239545,607
6.420031139,24.87306887,1,100,12.8597194,40
1.312280744,-43.56309334,1,100,12.89155039,801
30.00433358,27.59226359,1,100,13.05070533,169
34.75341015,11.28162905,1,100,13.05070533,238
2.971934265,8.798670724,1,100,13.11436731,1
